title,url
"진도경찰, 노인대학 교통안전교육 실시",https://www.cnbnews.com/news/article.html?no=564463
"양산 소주동, 노인일자리 안전 교육 & 성희롱 예방교육",http://www.newsfreezone.co.kr/news/articleView.html?idxno=408860
노인 중 절반 100만원도 못버는데…'더 늙은' 노인 갈 곳 줄어드나,https://view.asiae.co.kr/article/2022091515242016848
"대구교육청, 만학도 시화집 '세상에서 가장 아름다운 시' 발간",http://www.newsis.com/view/?id=NISX20220915_0002013631&cID=10810&pID=10800
[돌싱의 경제학]④ 화려한 돌싱 이면의 그림자… 노인 빈곤·건강 문제 우려,https://biz.chosun.com/topics/topics_social/2022/09/16/Q6M3W6L24ND6LIHR5XGKERSBQY/?utm_source=naver&utm_medium=original&utm_campaign=biz
태백시 노인복지기금 지원 사업 공모,https://www.news1.kr/articles/4801892
"부산중부소방서, 서구 장애인주간보호센터 응급처치 교육",http://www.lawissue.co.kr/view.php?ud=202209171220356929a8c8bf58f_12
"마포서, 고령층 대상 '보이스피싱' 예방 교육 실시",http://www.fnnews.com/news/202209151930485717
"대한노인회 충남연합회, 2022년 노인자원봉사사업 수행기관 실무자 교육",http://www.100ssd.co.kr/news/articleView.html?idxno=90861
"인천시, 4년 연속 노인일자리 최우수상…전국 최초",https://www.sedaily.com/NewsView/26B2JXRZD7
"진주시, '2022년 찾아가는 장애인식개선교육' 실시",http://www.joongdo.co.kr/web/view.php?key=20220916010004169
춘천시노인회 2년여만 노인일자리 집합 교육,http://www.kwnews.co.kr/page/view/2022091516160536340
"경주시, 지역 경로당에 '다문화 이해교육'실시",https://www.gukjenews.com/news/articleView.html?idxno=2551516
"진도경찰서, '노인대학 교통안전교육' 실시",https://www.sisamagazine.co.kr/news/articleView.html?idxno=464505
"[알고보니] '세금 축내는 노인 알바'?‥""우리 쌀값인데요""",https://imnews.imbc.com/news/2022/society/article/6406520_35673.html
"청주시 사회복지급식관리지원센터, 어르신 비대면 위생교육",https://www.news1.kr/articles/4800670
"대전 동구 판암2동, 노인사회활동 참여자 안전교육",http://www.dtnews24.com/news/articleView.html?idxno=731785
"진주시, '2022년 찾아가는 장애인식개선교육' 실시",http://www.shinailbo.co.kr/news/articleView.html?idxno=1598797
9월 노인교육자격증 8종 무료 수강 이벤트 개최,https://www.jejutwn.com/news/article.html?no=145783
거창 웅양면， 노인일자리 참여자 우울 예방 교육,http://www.gnmaeil.com/news/articleView.html?idxno=503908
"영광군, 찾아가는 노년기 눈건강 예방교육 진행",http://www.skyedaily.com/news/news_view.html?ID=167476
"옛 탐라대 부지 활용, '교육기관 유치' 이외 목적도 가능",http://www.jejusori.net/news/articleView.html?idxno=407678
"전주시, 생애주기별 식생활교육 실시",https://www.wikitree.co.kr/articles/789349
'전국 첫 자치 연금' 익산 성당포구마을에 연수소…교육 거점화,https://www.yna.co.kr/view/AKR20220913065100055?input=1195m
초고령사회 여성농 치매전문가 양성교육 인기,http://www.agrinet.co.kr/news/articleView.html?idxno=312313
[정동칼럼] 노인 1000만명 시대,https://www.khan.co.kr/opinion/column/article/202209150300105
"대한은퇴자협회, '노인 일자리' 정책 정부에 전환 촉구",http://www.breaknews.com/924411
"제천시노인종합복지관, 2회 검정고시 중·고졸 합격자 배출",http://www.dynews.co.kr/news/articleView.html?idxno=673314
"이천시, 중대재해처벌법 안전교육 실시",http://www.m-i.kr/news/articleView.html?idxno=950491
"영광군, '찾아가는 노인 저시력 예방교육' 진행",https://www.sisamagazine.co.kr/news/articleView.html?idxno=464278
[클릭!자치뉴스] 서울 강남구 '강남미래교육센터' 개관 外,https://hankookilbo.com/News/Read/A2022091411310000294?did=NA
"계룡소방, 소방안전교육 실시",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=679062
"충북보건과학대 평생교육원, 장애인 근로자 직무향상 교육",https://www.news1.kr/articles/4802234
"산청교육청 ""전화신청 민원서류 배달해드립니다""",http://www.newsis.com/view/?id=NISX20220914_0002011935&cID=10812&pID=10800
고령층 절반은 100만원도 못 벌어…노인들이 위험하다,https://www.sedaily.com/NewsView/26B2LMRO8I
교방동 노인일자리사업 참여자 안전교육 실시,http://www.gnnews.co.kr/news/articleView.html?idxno=509918
"대구 남구, 노인대학 개강식 개최",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202209151212161940987
"산청교육지원청, 취약계층 민원서류 배달제 운영",http://www.knnews.co.kr/news/articleView.php?idxno=1385785
"전북사회서비스원, 노인세대 위한 ‘인문학 아카데미’ 열어",http://sjbnews.com/news/news.php?number=756813
"[교육 돌아보기] 생존의 길, 문화 다양성",https://www.khan.co.kr/opinion/column/article/202209150300045
"안동시노인종합복지관, 실버 교양프로그램 수강생 모집",http://www.nspna.com/news/?mode=view&newsid=593022
[김제소식] 신중년 경력형 일자리 지원사업 참여자 역량강화교육 실시 外,https://www.ajunews.com/view/20220916115011334
어르신돌봄종사자 종합지원센터-재가노인복지협회 업무협약,https://www.gukjenews.com/news/articleView.html?idxno=2550736
"인천사서원, 예비노인 세대…'오피스 가드너'로 인생2막",http://www.incheonilbo.com/news/articleView.html?idxno=1160961
"춘천남부노인복지관, 평생학습 지원사업 '건빵레시피' 개강",http://www.shinailbo.co.kr/news/articleView.html?idxno=1599411
"홍성군보건소, 노인비만프로그램 운영",https://www.ccdailynews.com/news/articleView.html?idxno=2154440
"울산 중구보건소, 노인대학서 건강교육",http://www.ujeil.com/news/articleView.html?idxno=312306
[기고] 고령화에 따른 노인 안전성 문제 심각하다,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=679199
"하남시, 내달 제2노인복지관 착공… 관내 경로당 운영비도 대폭 증액",http://www.kyeongin.com/main/view.php?key=20220915010002153
"대한노인회 전북 완주군지회, 노인일자리 지원사업 참여자 교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90566
"일산서부署, 찾아가는 노인학대 등 범죄예방교육 실시",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160279366874365
"JDC, 제주포럼서 4·3과 여성 '노인도서관' 운영",http://www.jejusori.net/news/articleView.html?idxno=407621
고령화에 커지는 노인부양… KDI “노인연령 올리자”,https://biz.chosun.com/policy/policy_sub/2022/09/06/HFX5ET473BBTRLG63TETEUWX4U/?utm_source=naver&utm_medium=original&utm_campaign=biz
"홍천군노인복지관, 원거리지역 어르신 복지 접근성 향상 프로그램",http://www.shinailbo.co.kr/news/articleView.html?idxno=1599399
"진해 덕산동, 노인사회활동 참여자 안전교육 실시",http://www.shinailbo.co.kr/news/articleView.html?idxno=1598584
"인천시, ‘노인 일자리 종합평가’서 4년 연속 최우수",https://www.donga.com/news/article/all/20220914/115454754/1
"태풍 피해 순찰하던 해양경찰관들, 쓰러진 노인 살렸다",http://www.newsis.com/view/?id=NISX20220914_0002011983&cID=10809&pID=10800
"태백시, 노인복지기금 지원사업 본격 추진",http://www.breaknews.com/923772
"대한노인회 대전 유성구지회, 신기영 지회장 석전대제 초헌관 수행",http://www.100ssd.co.kr/news/articleView.html?idxno=90695
내년 저소득층·노인 등 사회적 약자에 예산 74조 지원...“복지 사각지대 해...,https://biz.chosun.com/policy/policy_sub/2022/09/08/2WDSGZ2JKFEZJJKEN4GLLNRSXI/?utm_source=naver&utm_medium=original&utm_campaign=biz
"‘깜깜이 연구용역’ 경남도 42% 미공개, 도교육청은 92% 수의계약 [의회소식...",http://www.kukinews.com/newsView/kuk202209130214
"전북은행, 금융 분야 전문 노인 일자리 창출",https://www.pressian.com/pages/articles/2022091414184519165?utm_source=naver&utm_medium=search
“노인 연령 올리자” KDI 제안… 정년연장 논의 불가피,https://news.kmib.co.kr/article/view.asp?arcid=0924262810&code=11151100&cp=nv
"""노인에서 청소년까지 확대"" 전주시, 고독사예방사업 추진",http://www.newsis.com/view/?id=NISX20220913_0002010853&cID=10899&pID=10800
코이카 글로벌인재교육원 영월서 후원활동 지속 전개,https://www.news1.kr/articles/4801103
"울산시, 북구 송정동에 제2시립노인복지관 건립",http://www.newsis.com/view/?id=NISX20220904_0002001926&cID=10814&pID=10800
"대한노인회 강원 속초시지회, 1·3세대가 함께하는 예절프로그램으로 즐거운 ...",http://www.100ssd.co.kr/news/articleView.html?idxno=90970
"남원소방서, 어린이 소방안전교육 실시",https://www.jjan.kr/article/20220915580164
"경남도의회 교육위원회, 노인요양시설 위문",http://www.gnnews.co.kr/news/articleView.html?idxno=509657
"산청교육청, 취약계층 민원서류 배달제 운영",http://www.gnnews.co.kr/news/articleView.html?idxno=509986
"동해시노인종합복지관, 2022년 노인사회활동지원사업 활동교육 실시",http://www.withinnews.co.kr/news/view.html?section=1&category=155&item=&no=28702
"산청교육지원청, 산엔청복지관에 사랑의 쌀 전달",http://www.enewstoday.co.kr/news/articleView.html?idxno=1598788
"한국교통안전공단, 고령자 맞춤 교통안전교육",https://www.inews365.com/news/article.html?no=731015
"진천 광혜원면 기업체협의회, 지역 노인회 간식비 전달",http://www.breaknews.com/923607
이천시. '중대재해처벌법 안전교육’ 실시,http://www.breaknews.com/924444
[14일 화성시 소식] '어린이 논 산책' 유아 인성교육 프로그램 재인증 등,https://www.asiatime.co.kr/article/20220914500205
책을 통해 교육을 실천하는 도서관학교,https://www.eroun.net/news/articleView.html?idxno=29603
"인천시, 전국 최초 4년 연속 '노인일자리 종합평가' 최우수상",https://www.cstimes.com/news/articleView.html?idxno=512213
"세종시교육청, 추석 맞아 사회복지시설 위문",https://www.news1.kr/articles/4793624
"대한노인회 충북 단양군지회, 9988행복지키미 활동·소양교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90515
"대한노인회 경기 이천시지회, 노인학대예방교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90790
"초고령화 1호 대도시, '노인과 부산'의 미래",http://weekly.chosun.com/news/articleView.html?idxno=21841
"영진전문대 평생교육원, 방문재활간호 아카데미 2기 개설",https://news.bbsi.co.kr/news/articleView.html?idxno=3081307
"제주서부소방서 영어교육도시119센터, 주택용 소방시설 지원신청제 집중홍보 ...",http://www.headlinejeju.co.kr/news/articleView.html?idxno=496281
"농식품유통교육원, 추석 맞이 지역상생 사회공헌 펼쳐",http://daily.hankooki.com/news/articleView.html?idxno=868991
"청주시사회복지급식관리지원센터, 입소 어르신 비대면 위생교육 진행",http://www.breaknews.com/923595
"대한노인회 전북 남원시지회, 노인지도자 교육 중 경로당회장 간담회 가져",http://www.100ssd.co.kr/news/articleView.html?idxno=90808
"포천우체국, 포천시노인복지관 노인 대상 추석명절나눔 및 보이스피싱 예방교...",https://www.nbntv.co.kr/news/articleView.html?idxno=992439
"인천시, 시민·행정 연결 중간지원조직...시민교육 이끈다",http://www.enewstoday.co.kr/news/articleView.html?idxno=1598276
"전주완산소방, 노인복지시설에서 심폐소생술 교육",http://www.domin.co.kr/news/articleView.html?idxno=1396062
백석대 “융복합 교육으로 미래 경쟁력 높이고 지역사회 기여”,https://www.donga.com/news/article/all/20220912/115417553/1
옥천군 황규철 군수 옥천노인대학 특강,http://www.daejonilbo.com/news/articleView.html?idxno=2023050
"대한노인회 경북 군위군지회, 경로당 활성화를 위한 읍면 순회 교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90876
한국열린사이버대학교 평생교육원 '사회복지사 2급' 2학기 6차 수강생 모집,http://www.thefirstmedia.net/news/articleView.html?idxno=101798
"남양주시노인복지관, 추석맞이 행사 ‘함께하는 즐거운 한가위’ 진행",http://www.breaknews.com/924051
"대한노인회 경기 광주시지회, 2022년 제1차 이사회 개최",http://www.100ssd.co.kr/news/articleView.html?idxno=90794
"경남교육청, 사회복지시설 10곳 추석 위문",http://www.newsis.com/view/?id=NISX20220908_0002008505&cID=10812&pID=10800
"청주서부소방서, 찾아가는 소방안전교육 실시",http://www.dynews.co.kr/news/articleView.html?idxno=672863
"청운대, 미추홀노인복지관과 시니어 교육 협약",https://news.unn.net/news/articleView.html?idxno=533652
저소득층·노인 등 사회적약자 2100만명에 내년 예산 74.4조 지원(종합),https://www.news1.kr/articles/4797633
"인천시, 노인일자리 종합평가 ‘최우수’… 전국 최초 4년 연속",http://www.skyedaily.com/news/news_view.html?ID=167252
내년 저소득층·노인 등 사회적 약자에 예산 74조 지원...“복지 사각지대 해...,https://biz.chosun.com/policy/policy_sub/2022/09/08/2WDSGZ2JKFEZJJKEN4GLLNRSXI/?utm_source=naver&utm_medium=original&utm_campaign=biz
"‘깜깜이 연구용역’ 경남도 42% 미공개, 도교육청은 92% 수의계약 [의회소식...",http://www.kukinews.com/newsView/kuk202209130214
"전북은행, 금융 분야 전문 노인 일자리 창출",https://www.pressian.com/pages/articles/2022091414184519165?utm_source=naver&utm_medium=search
“노인 연령 올리자” KDI 제안… 정년연장 논의 불가피,https://news.kmib.co.kr/article/view.asp?arcid=0924262810&code=11151100&cp=nv
"""노인에서 청소년까지 확대"" 전주시, 고독사예방사업 추진",http://www.newsis.com/view/?id=NISX20220913_0002010853&cID=10899&pID=10800
코이카 글로벌인재교육원 영월서 후원활동 지속 전개,https://www.news1.kr/articles/4801103
"울산시, 북구 송정동에 제2시립노인복지관 건립",http://www.newsis.com/view/?id=NISX20220904_0002001926&cID=10814&pID=10800
"진주시, 2022년 찾아가는 장애인식개선교육",http://www.newsgn.com/333900
"대한노인회 강원 속초시지회, 1·3세대가 함께하는 예절프로그램으로 즐거운 ...",http://www.100ssd.co.kr/news/articleView.html?idxno=90970
"대한노인회 강원 속초시지회, 1·3세대가 함께하는 예절프로그램으로 즐거운 ...",http://www.100ssd.co.kr/news/articleView.html?idxno=90970
인천시 노인일자리 평가 4년 연속 '최우수' 쾌거,http://www.kihoilbo.co.kr/news/articleView.html?idxno=995667
50년 뒤 인구 절반이 고령…청년 1명이 노인 1명 먹여살려야,http://www.edaily.co.kr/news/newspath.asp?newsid=03735926632457496
"남원소방서, 어린이 소방안전교육 실시",https://www.jjan.kr/article/20220915580164
"경남도의회 교육위원회, 노인요양시설 위문",http://www.gnnews.co.kr/news/articleView.html?idxno=509657
"산청교육청, 취약계층 민원서류 배달제 운영",http://www.gnnews.co.kr/news/articleView.html?idxno=509986
"충북보과대, 행복모아㈜ 근로자 직무교육",http://www.dynews.co.kr/news/articleView.html?idxno=673043
"JDC, 제주포럼 부대행사 '노인도서관' 개최",http://www.newsjeju.net/news/articleView.html?idxno=381887
"동해시노인종합복지관, 2022년 노인사회활동지원사업 활동교육 실시",http://www.withinnews.co.kr/news/view.html?section=1&category=155&item=&no=28702
내년 저소득층·노인 등 취약계층 2천100만명에 예산 74조 지원,https://www.yna.co.kr/view/AKR20220907157500002?input=1195m
내년 저소득층·노인 등 취약계층 2천100만명에 예산 74조 지원,https://www.yna.co.kr/view/AKR20220907157500002?input=1195m
"서원대학교 운영 청주시사회복지급식관리지원센터, 어르신 비대면 위생교육",https://www.gukjenews.com/news/articleView.html?idxno=2548959
"안동 노인종합복지관, 실버 교양프로그램 운영",http://www.shinailbo.co.kr/news/articleView.html?idxno=1599190
"인천시, 전국 최초 4년 연속 노인일자리 평가 최우수상",http://www.shinailbo.co.kr/news/articleView.html?idxno=1598455
"산청교육지원청, 산엔청복지관에 사랑의 쌀 전달",http://www.enewstoday.co.kr/news/articleView.html?idxno=1598788
"한국교통안전공단, 고령자 맞춤 교통안전교육",https://www.inews365.com/news/article.html?no=731015
"JDC, 제주포럼 부대행사 '노인도서관' 개최",http://www.jejumaeil.net/news/articleView.html?idxno=319212
"태백시, 노인복지기금 지원사업 공모",http://www.cfnews.kr/news.aspx/63744
"진천 광혜원면 기업체협의회, 지역 노인회 간식비 전달",http://www.breaknews.com/923607
이천시. '중대재해처벌법 안전교육’ 실시,http://www.breaknews.com/924444
"태백시, 노인복지기금 지원사업 공모",http://www.cfnews.kr/news.aspx/63744
"진천 광혜원면 기업체협의회, 지역 노인회 간식비 전달",http://www.breaknews.com/923607
이천시. '중대재해처벌법 안전교육’ 실시,http://www.breaknews.com/924444
[14일 화성시 소식] '어린이 논 산책' 유아 인성교육 프로그램 재인증 등,https://www.asiatime.co.kr/article/20220914500205
책을 통해 교육을 실천하는 도서관학교,https://www.eroun.net/news/articleView.html?idxno=29603
"충북보건과학대, 장애인 재직근로자 직무향상과정 교육",https://news.unn.net/news/articleView.html?idxno=533828
"JDC, 제주포럼 '노인도서관'…4·3유족 허순자 할머님 등 인터뷰",http://www.jejudomin.co.kr/news/articleView.html?idxno=212658
"교통안전공단 충북본부, 제천명락복지관서 '교통안전교육'",https://www.ccdailynews.com/news/articleView.html?idxno=2153842
"홍성군보건소, '우리도 할 수 있어요' 노인비만프로그램 운영",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=678968
"인천시, 전국 최초 4년 연속 '노인일자리 종합평가' 최우수상",https://www.cstimes.com/news/articleView.html?idxno=512213
"세종시교육청, 추석 맞아 사회복지시설 위문",https://www.news1.kr/articles/4793624
"정부, 저소득층·장애인·노인 등 취약계층에 74조 원 지원",https://news.kbs.co.kr/news/view.do?ncd=5551876&ref=A
"대한노인회 충북 단양군지회, 9988행복지키미 활동·소양교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90515
"대한노인회 경기 이천시지회, 노인학대예방교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90790
"초고령화 1호 대도시, '노인과 부산'의 미래",http://weekly.chosun.com/news/articleView.html?idxno=21841
"영진전문대 평생교육원, 방문재활간호 아카데미 2기 개설",https://news.bbsi.co.kr/news/articleView.html?idxno=3081307
"JDC, 제주포럼서 노인도서관 운영 ""세대 소통 기대""",http://www.jemin.com/news/articleView.html?idxno=743165
대한노인회 완주군지회 노인대학 문 열어,http://www.domin.co.kr/news/articleView.html?idxno=1396188
"제주서부소방서 영어교육도시119센터, 주택용 소방시설 지원신청제 집중홍보 ...",http://www.headlinejeju.co.kr/news/articleView.html?idxno=496281
"농식품유통교육원, 추석 맞이 지역상생 사회공헌 펼쳐",http://daily.hankooki.com/news/articleView.html?idxno=868991
"안동시노인종합복지관, 실버 교양프로그램 수강생 모집",http://www.hidomin.com/news/articleView.html?idxno=494097
"""66조→74조원""...내년 저소득층·노인 등 지원 예산 13%↑",http://news.mt.co.kr/mtview.php?no=2022090808114351301
"JDC, 제주포럼 2022 참여…부대 행사 ‘노인도서관’ 운영",http://www.thebigdata.co.kr/view.php?ud=202209141049552352d2db879fd_23
"충북보건과학대, 행복모아(주) 장애인 재직근로자 직무향상과정 교육 실시",https://www.gukjenews.com/news/articleView.html?idxno=2550181
"청주시사회복지급식관리지원센터, 어르신 비대면 위생교육 실시",http://www.jbnews.com/news/articleView.html?idxno=1370739
"청주시사회복지급식관리지원센터, 입소 어르신 비대면 위생교육 진행",http://www.breaknews.com/923595
"대한노인회 전북 남원시지회, 노인지도자 교육 중 경로당회장 간담회 가져",http://www.100ssd.co.kr/news/articleView.html?idxno=90808
"포천우체국, 포천시노인복지관 노인 대상 추석명절나눔 및 보이스피싱 예방교...",https://www.nbntv.co.kr/news/articleView.html?idxno=992439
"인천시, 시민·행정 연결 중간지원조직...시민교육 이끈다",http://www.enewstoday.co.kr/news/articleView.html?idxno=1598276
"전주완산소방, 노인복지시설에서 심폐소생술 교육",http://www.domin.co.kr/news/articleView.html?idxno=1396062
백석대 “융복합 교육으로 미래 경쟁력 높이고 지역사회 기여”,https://www.donga.com/news/article/all/20220912/115417553/1
옥천군 황규철 군수 옥천노인대학 특강,http://www.daejonilbo.com/news/articleView.html?idxno=2023050
"대한노인회 경북 군위군지회, 경로당 활성화를 위한 읍면 순회 교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90876
한국열린사이버대학교 평생교육원 '사회복지사 2급' 2학기 6차 수강생 모집,http://www.thefirstmedia.net/news/articleView.html?idxno=101798
"남양주시노인복지관, 추석맞이 행사 ‘함께하는 즐거운 한가위’ 진행",http://www.breaknews.com/924051
"대한노인회 경기 광주시지회, 2022년 제1차 이사회 개최",http://www.100ssd.co.kr/news/articleView.html?idxno=90794
"경남교육청, 사회복지시설 10곳 추석 위문",http://www.newsis.com/view/?id=NISX20220908_0002008505&cID=10812&pID=10800
"청주서부소방서, 찾아가는 소방안전교육 실시",http://www.dynews.co.kr/news/articleView.html?idxno=672863
"청운대, 미추홀노인복지관과 시니어 교육 협약",https://news.unn.net/news/articleView.html?idxno=533652
울산 북구 송정동에 제2시립노인복지관 건립…2024년 준공,https://www.yna.co.kr/view/AKR20220905007000057?input=1195m
"청주서부소방서, 찾아가는 소방안전교육 실시",https://www.inews365.com/news/article.html?no=731084
울산 북구 송정동에 제2시립노인복지관 건립…2024년 준공,https://www.yna.co.kr/view/AKR20220905007000057?input=1195m
산청교육청， 민원 서류 배달 장애인ㆍ독거노인 등 대상,http://www.gnmaeil.com/news/articleView.html?idxno=503762
저소득층·노인 등 사회적약자 2100만명에 내년 예산 74.4조 지원(종합),https://www.news1.kr/articles/4797633
청운대-미추홀노인복지관·노인회 교육 협약,http://www.veritas-a.com/news/articleView.html?idxno=428627
"연천교육청, 추석맞이 지역 사회복지시설 4곳에 위문품 전달",http://www.incheonilbo.com/news/articleView.html?idxno=1160750
"세종시교육청, 추석 맞이 사회복지시설 위문...""12곳""",http://daily.hankooki.com/news/articleView.html?idxno=868018
"대한노인회 경기 용인시 수지구지회, 2022년 제3차 정기이사회 개최",http://www.100ssd.co.kr/news/articleView.html?idxno=90854
"순찰하던 해양경찰들, 길가에 쓰러진 노인 구조",https://www.jnilbo.com/view/media/view?code=2022091410525922985
"[인터뷰]대한노인재활의학회, 박시복 회장·김철 이사장",http://medicalworldnews.co.kr/news/view.php?idx=1510951783
"[인터뷰]대한노인재활의학회, 박시복 회장·김철 이사장",http://medicalworldnews.co.kr/news/view.php?idx=1510951783
"영천시, 찾아가는 디지털 역량 강화 교육 운영",http://www.shinailbo.co.kr/news/articleView.html?idxno=1597895
"괴산군, 취약계층 평생교육 프로그램 대상 확대",http://www.newsis.com/view/?id=NISX20220908_0002007427&cID=10806&pID=10800
"김길수 남원시의원, ""노인 돌봄서비스 종사자 처우개선해야""",https://www.jjan.kr/article/20220914580164
"괴산군, 취약계층대상 평생교육 프로그램 운영 확대",http://www.ggilbo.com/news/articleView.html?idxno=933394
이재영 증평군수 노인복지관서 역사교육 특강,http://www.joongdo.co.kr/web/view.php?key=20220905010001131
"'정년연장' 논의 불붙나…KDI ""노인연령 상향·임금체계 개편해야""",http://www.edaily.co.kr/news/newspath.asp?newsid=02400966632457496
"완산소방, 노인복지시설서 심폐소생술 교육 실시",http://www.jjn.co.kr/news/articleView.html?idxno=919748
"인천시, 중간지원조직 네트워크 공동 시민교육",http://www.incheontoday.com/news/articleView.html?idxno=221339
"진천군의회 김기복 의원, 노인회 임원 활동비 지원 현실화 촉구",https://www.gukjenews.com/news/articleView.html?idxno=2550156
"진천군의회 김기복 의원, 노인회 임원 활동비 지원 현실화 촉구",https://www.gukjenews.com/news/articleView.html?idxno=2550156
"세종시교육청, 추석 맞아 사회복지시설 위문",https://cc.newdaily.co.kr/site/data/html/2022/09/05/2022090500100.html
"이재영 증평군수, 증평군노인복지관서 역사교육 특강",https://www.gukjenews.com/news/articleView.html?idxno=2544160
"산청교육지원청, '취약계층 민원서류 배달제' 운영",http://www.joongdo.co.kr/web/view.php?key=20220914010003472
"대전중장년지원센터, 3학기 ‘직업훈련 개발교육 및 문화여가 활동교육’ 수강...",http://www.shinailbo.co.kr/news/articleView.html?idxno=1598244
"[대구소식] 북구, 경로당서 스마트폰·키오스크 교육 실시 등",http://www.newsis.com/view/?id=NISX20220906_0002004899&cID=10810&pID=10800
"""노인 복지로 영혼 구원의 열매를 맺다""",https://www.goodnews1.com/news/articleView.html?idxno=412339
"황규철 옥천군수, 옥천군 노인회 노인대학 특강",http://www.ggilbo.com/news/articleView.html?idxno=933401
