행사명,대상,행사일시
1.6(수) 2차수령(15-18시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.06 ~ 2021.01.06
1.5(화) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.05 ~ 2021.01.05
1.5(화) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.05 ~ 2021.01.05
1.3(일) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.03 ~ 2021.01.03
1.3(일) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.03 ~ 2021.01.03
부모에게도 교육이 필요한 시대!_[4강] 아이를 변화시키는 부모의 말!,성인,2022.09.28 ~ 2022.09.28
"부모에게도 교육이 필요한 시대!_[3강] 부모와 자녀의 행복한 소통, 가정에서 기르는 문해력",성인,2022.09.14 ~ 2022.09.14
부모에게도 교육이 필요한 시대!_[2강] 부모와 아이 중 한 사람은 어른이어야 한다.,성인,2022.09.07 ~ 2022.09.07
부모에게도 교육이 필요한 시대!_[1강] 아이의 뇌에 어떤 스토리를 심을 것인가?,성인,2022.08.31 ~ 2022.08.31
아빠와 함께 하는 리듬톡톡 북놀이터,성인,2022.08.28 ~ 2022.08.28
엄마와 함께 하는 리듬톡톡 북놀이터,성인,2022.08.24 ~ 2022.08.24
[여름방학특별]경제야 놀자!,초등 3~6학년,2022.08.10 ~ 2022.08.17
이야기가 있는 코딩,초등 4~6학년,2022.08.02 ~ 2022.08.23
[여름방학특별]책읽GO 표현하GO,초등,2022.08.02 ~ 2022.08.30
책읽GO 생각하GO_중학년,초등 3~4학년,2022.07.27 ~ 2022.07.27
책읽GO 생각하GO_고학년,초등 5~6학년,2022.07.12 ~ 2022.07.12
책읽GO 생각하GO_저학년,초등 1~2학년,2022.07.08 ~ 2022.07.08
[칠교연극놀이]아가씨와 여우,7~8세,2022.06.27 ~ 2022.06.27
도서관 펜팔 친구,초등,2022.06.21 ~ 2022.07.21
업사이클링 클레이 화분 만들고 지구지킴이 되기,8세~10세,2022.06.03 ~ 2022.06.03
[체험형동화구연]아기돼지 삼형제(5월21일_14시-15시),5세-8세,2022.05.21 ~ 2022.05.21
[체험형동화구연]아기돼지 삼형제(5월21일_15시-16시),5세-8세,2022.05.21 ~ 2022.05.21
달콤한 도서관 레시피,6~7세,2022.05.14 ~ 2022.05.14
리딩인과 함께하는 책토리,6~13세,2022.05.12 ~ 2022.08.13
[체험형동화구연]아기돼지 삼형제(5월7일_14시-15시),5세-8세,2022.05.07 ~ 2022.05.07
[체험형동화구연]아기돼지 삼형제(5월7일_15시-16시),5세-8세,2022.05.07 ~ 2022.05.07
[공연]어린이 매지컬: 마법전사 매직킹,초등 1~6학년,2022.04.30 ~ 2022.04.30
작은 씨앗이 자라면,"유아, 어린이",2022.04.12 ~ 2022.04.18
(스무고개탐정과 함께 하는)추리독서클럽,초등4~6학년,2022.04.07 ~ 2022.04.28
[책이랑 톡톡. 02] 진형민 작가를 만나다,초등 4-6학년,2022.03.16 ~ 2022.03.16
[책이랑 톡톡. 01] 서현 작가를 만나다,어린이,2022.02.17 ~ 2022.02.17
조물조물 크리스마스 장식만들기(1-2학년),초등1-2학년,2021.12.15 ~ 2021.12.15
조물조물 크리스마스 장식만들기(3-6학년),초등3-6학년,2021.12.15 ~ 2021.12.15
왁자지껄 토론연극 ,초등 3~4학년,2021.12.04 ~ 2021.12.04
[공연]북극곰 예술여행,초등1~6학년,2021.11.27 ~ 2021.11.27
남동윤 작가와 함께하는 만화교실,초등3~6학년,2021.11.04 ~ 2021.11.04
(보고 들으며 느끼는)오감만족 북 콘서트,초등,2021.10.31 ~ 2021.10.31
[음악놀이] 클래식이랑 놀자(5~6세),5세~6세,2021.10.13 ~ 2021.10.13
[음악놀이] 클래식이랑 놀자(7~8세),7세~8세,2021.10.13 ~ 2021.10.13
리딩인 활동가와 함께하는 책토리,6세~초등 6,2021.09.11 ~ 2021.12.11
오세나 작가와 함께 하는 검정토끼,초등2-3학년,2021.09.08 ~ 2021.09.08
[여름방학 특별]방방콕콕 세계문화여행,초등3-6학년,2021.08.10 ~ 2021.08.17
[어린이]반려 물고기 키우기,초등 3~6학년,2021.07.21 ~ 2021.07.21
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_3강 육아를 위한 그림책 읽는 방법 신청,성인,2021.07.21 ~ 2021.07.21
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_2강 꿈꾸는 아이의 그림책 놀이 신청,성인,2021.07.14 ~ 2021.07.14
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_1강 '영.유아기 자녀와 잘지내기' 신청,성인,2021.07.07 ~ 2021.07.07
[유아]알록달록 그림책 놀이,유아 6-7세,2021.06.24 ~ 2021.07.01
어린이를 위한 뉴스 바로 알기,초등 4-6,2021.06.16 ~ 2021.06.16
[도.도.야] 일미터클래식 '행복한 르누아르와 반고흐',초등1~6학년,2021.05.16 ~ 2021.05.16
[어린이책마을]달콤한 도서관 레시피 2강 ,초등 3-4학년,2021.05.09 ~ 2021.05.09
[어린이책마을]달콤한 도서관 레시피 1강  ,초등 1-2학년,2021.05.02 ~ 2021.05.02
2021년 이용자맞춤서비스 ,유아6세~초등6학년,2021.04.24 ~ 2021.07.24
[도서관주간]도서관에 숨은 보물찾기 ,6세~초등 6학년,2021.04.13 ~ 2021.04.18
[어린이책마을]뚝딱뚝딱 다이어리 꾸미기 ,초등 4-6,2021.03.18 ~ 2021.03.18
[어린이책마을]동화동무씨동무 ,초등 5-6학년,2021.03.13 ~ 2021.05.29
학교 적응부터 온라인수업까지_예비초 학부모교육,성인,2021.02.17 ~ 2021.02.17
아동학대예방교육_우리가 바꿀게!,성인,2021.02.03 ~ 2021.02.03
어린이책마을_다시쓰는 혹부리영감_혹부리 환불소동,누구나,2021.01.30 ~ 2021.01.30
1.17(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.17 ~ 2021.01.17
1.17(일) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.17 ~ 2021.01.17
1.16(토) 1차수령(11-14시) 안심도서대출서비스 ,누구나,2021.01.16 ~ 2021.01.16
1.16(토) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.16 ~ 2021.01.16
1.15(금) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.15 ~ 2021.01.15
1.15(금) 2차수령(15-18시) 안심도서대출서비스 ,누구나,2021.01.15 ~ 2021.01.15
1.14(목) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.14 ~ 2021.01.14
1.13(수) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.13 ~ 2021.01.13
1.13(수) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.13 ~ 2021.01.13
1.12(화) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.12 ~ 2021.01.12
1.12(화) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.12 ~ 2021.01.12
1.10(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.10 ~ 2021.01.10
1.10(일) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.10 ~ 2021.01.10
1.9(토) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.09 ~ 2021.01.09
1.9(토) 2차수령(15-18시) 안심도서대출서비스 ,누구나,2021.01.09 ~ 2021.01.09
1.8(금) 1차수령(11-14시) 안심도서대출서비스 ,누구나,2021.01.08 ~ 2021.01.08
1.8(금) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.08 ~ 2021.01.08
1.7(목) 1차수령(11-14시) 안심도서대출서비스 ,누구나,2021.01.07 ~ 2021.01.07
1.7(목) 2차수령(15-18시) 안심도서대출서비스 ,누구나,2021.01.07 ~ 2021.01.07
1.6(수) 2차수령(15-18시) 안심도서대출서비스 ,누구나,2021.01.06 ~ 2021.01.06
1.5(화) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.05 ~ 2021.01.05
1.5(화) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.05 ~ 2021.01.05
1.3(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.03 ~ 2021.01.03
1.3(일) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.03 ~ 2021.01.03
부모에게도 교육이 필요한 시대!_[4강] 아이를 변화시키는 부모의 말!,성인,2022.09.28 ~ 2022.09.28
"부모에게도 교육이 필요한 시대!_[3강] 부모와 자녀의 행복한 소통, 가정에서 기르는 문해력",성인,2022.09.14 ~ 2022.09.14
부모에게도 교육이 필요한 시대!_[2강] 부모와 아이 중 한 사람은 어른이어야 한다.,성인,2022.09.07 ~ 2022.09.07
부모에게도 교육이 필요한 시대!_[1강] 아이의 뇌에 어떤 스토리를 심을 것인가?,성인,2022.08.31 ~ 2022.08.31
아빠와 함께 하는 리듬톡톡 북놀이터,성인,2022.08.28 ~ 2022.08.28
엄마와 함께 하는 리듬톡톡 북놀이터,성인,2022.08.24 ~ 2022.08.24
[여름방학특별]경제야 놀자!,초등 3~6학년,2022.08.10 ~ 2022.08.17
이야기가 있는 코딩,초등 4~6학년,2022.08.02 ~ 2022.08.23
[여름방학특별]책읽GO 표현하GO,초등,2022.08.02 ~ 2022.08.30
책읽GO 생각하GO_중학년,초등 3~4학년,2022.07.27 ~ 2022.07.27
책읽GO 생각하GO_고학년,초등 5~6학년,2022.07.12 ~ 2022.07.12
책읽GO 생각하GO_저학년,초등 1~2학년,2022.07.08 ~ 2022.07.08
[칠교연극놀이]아가씨와 여우,7~8세,2022.06.27 ~ 2022.06.27
도서관 펜팔 친구,초등,2022.06.21 ~ 2022.07.21
업사이클링 클레이 화분 만들고 지구지킴이 되기,8세~10세,2022.06.03 ~ 2022.06.03
[체험형동화구연]아기돼지 삼형제(5월21일_14시-15시),5세-8세,2022.05.21 ~ 2022.05.21
[체험형동화구연]아기돼지 삼형제(5월21일_15시-16시),5세-8세,2022.05.21 ~ 2022.05.21
달콤한 도서관 레시피,6~7세,2022.05.14 ~ 2022.05.14
리딩인과 함께하는 책토리,6~13세,2022.05.12 ~ 2022.08.13
[체험형동화구연]아기돼지 삼형제(5월7일_14시-15시),5세-8세,2022.05.07 ~ 2022.05.07
[체험형동화구연]아기돼지 삼형제(5월7일_15시-16시),5세-8세,2022.05.07 ~ 2022.05.07
[공연]어린이 매지컬: 마법전사 매직킹,초등 1~6학년,2022.04.30 ~ 2022.04.30
작은 씨앗이 자라면,"유아, 어린이",2022.04.12 ~ 2022.04.18
(스무고개탐정과 함께 하는)추리독서클럽,초등4~6학년,2022.04.07 ~ 2022.04.28
"[9월] 랜선 낭독회 “소리나는 독서, 소리듣는 독서”",성인,2022.09.14 ~ 2022.09.28
"[9월] 독서의 달 "" 책 빌려가방"" 만들기",유아,2022.09.08 ~ 2022.09.08
[9월] 청소년 진로백서 ,청소년 및 성인,2022.09.04 ~ 2022.09.04
『마틸다』번역가가 들려주는 『봄의 방정식』이야기 - 김난령번역가와의 만남,청소년~성인,2022.08.27 ~ 2022.08.27
[8월] 불암도서관 자원봉사 사전교육,중학생이상,2022.08.09 ~ 2022.08.09
"[8월] 여름방학 독서교실 ""여름아 읽자!""",초등,2022.08.03 ~ 2022.08.05
(중학생이상)여름방학 취미지원 프로그램 : 니들-펠트 한 번 배워볼래?,14세~18세,2022.08.01 ~ 2022.08.31
"청소년 인문학 특강 - 어라, 그건 이집트가 아닌데요?",13세~19세,2022.07.23 ~ 2022.07.30
[7월] 도서관과 생일이 같은 어린이 친구를 찾아요!,유아~초등학생,2022.07.20 ~ 2022.07.27
[8월] 신나는 그림책 놀이터,유아,2022.07.19 ~ 2022.08.25
[7월] 2022년 뮤지컬 인문학 프로그램 “좌석 대신 도서관”,성인,2022.07.16 ~ 2022.07.23
[7월]불암도서관 자원 봉사자 사전 교육,중학생이상,2022.07.12 ~ 2022.07.12
청소년 자료실 진로 북큐레이션 연계프로그램 ,.,2022.07.09 ~ 2022.07.09
[7월] 그림책 특강 ,성인,2022.07.07 ~ 2022.07.21
[7월] 어린이 독서동아리 ,초등,2022.06.22 ~ 2022.06.22
[6월] 불암도서관 자원봉사자 사전 교육,중학생이상,2022.06.14 ~ 2022.06.14
[6월] 소소한 이야기,어린이,2022.06.11 ~ 2022.06.11
[5월] 소소한이야기,어린이,2022.05.12 ~ 2022.05.12
[5월] 성인인문학(봄)  역사로 보는 대중음악 이야기,중학생이상,2022.05.11 ~ 2022.05.25
"[5월] 지금, 나를 채우는 문장들",성인,2022.05.10 ~ 2022.05.10
[4월] 유은실 작가와의 만남,초등,2022.04.24 ~ 2022.04.24
[4월] 소소한 이야기,어린이,2022.04.17 ~ 2022.04.17
[4월] 시작된변화 청소년팀 모집,청소년,2022.03.29 ~ 2022.03.29
[3월] 소소한 이야기,어린이,2022.03.19 ~ 2022.03.19
[1월]HOW? HOW!,초등3 ~ 6학년,2022.01.08 ~ 2022.01.22
[12월] 범이 내려온다,어린이,2021.12.19 ~ 2021.12.19
성인인문학 겨울 강좌(영화),성인(중학생이상),2021.12.15 ~ 2021.12.15
[1교시]마니마니 아저씨 키즈쇼_Magical BURAM‘s Mas,누구나,2021.12.12 ~ 2021.12.12
[2교시]빛과 모래로 들려주는 스토리텔링쇼_Magical BURAM‘s Mas,누구나,2021.12.12 ~ 2021.12.12
『체리새우:비밀글입니다』황영미 작가 청소년 힐링특강,청소년,2021.12.04 ~ 2021.12.04
[12월] 불암도서관 독서동아리 대상 다.독.임(다시.독서.모임) 프로그램,성인,2021.12.02 ~ 2021.12.16
2인 2색 온라인 작가와의 만남 (이임숙작가),성인,2021.11.24 ~ 2021.11.24
[11월] 내가 불암 히어로!,유아,2021.11.20 ~ 2021.11.20
2인 2색 온라인 작가와의 만남 (임윤희 작가),성인,2021.11.11 ~ 2021.11.18
[11월][노원구립도서관 공론의 장] “수다만남 환경만담”,누구나,2021.11.06 ~ 2021.11.06
[11월]HOW? HOW!,유아,2021.11.06 ~ 2021.11.13
[10월] 모래로 만나는 동화이야기(샌드아트공연),누구나,2021.10.16 ~ 2021.10.16
[10월] 『검정토끼』 저자 오세나작가와의 만남,초등,2021.10.16 ~ 2021.10.16
[10월] 2021 불암도서관 성인인문학 가을 강좌 (드라마&다큐),성인,2021.10.12 ~ 2021.10.26
[9월]  온라인 뮤지컬<미녀와야수> ,누구나,2021.09.18 ~ 2021.09.18
[9월]내가 만드는 무지개 물고기,초등,2021.09.11 ~ 2021.09.11
[9월] 방구석 미술실,초등1~2,2021.09.11 ~ 2021.09.11
[9월] HOW? HOW!,초등3~6,2021.09.04 ~ 2021.09.11
[8월] 방구석 미술실,초등 1~3,2021.08.14 ~ 2021.08.28
[8월] HOW? HOW!,초등3~6,2021.08.14 ~ 2021.08.28
[7월]2021년 신나는 그림책 놀이터,어린이,2021.07.20 ~ 2021.07.23
[7월]앙리마티스- 벌거숭이 임금님 공연 음악회,8~100,2021.07.18 ~ 2021.07.18
[7월] HOW? HOW!,초등3~6,2021.07.17 ~ 2021.07.31
[7월]방구석 미술실,초1-3,2021.07.03 ~ 2021.07.03
[6월]HOW? HOW!,초4~6,2021.06.05 ~ 2021.06.05
[5월]HOW? HOW!,초4~6,2021.05.15 ~ 2021.05.15
"성인인문학-오페라, 삶의 노래여!",성인,2021.05.13 ~ 2021.05.27
[4월]HOW? HOW!,초등3~6,2021.04.10 ~ 2021.04.10
[4월] 불암도서관 특별프로그램 '책과 함께',성인,2021.04.09 ~ 2021.04.09
[4월] 허유정작가와의 만남,누구나,2021.04.07 ~ 2021.04.07
2021년 청소년 사회참여 프로젝트 '시작된변화',청소년,2021.03.15 ~ 2021.03.15
1.17(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.17 ~ 2021.01.17
"1.17(일) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.17 ~ 2021.01.17
1.16(토) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.16 ~ 2021.01.16
"1.16(토) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.16 ~ 2021.01.16
"1.15(금) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.15 ~ 2021.01.15
1.14(목) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.14 ~ 2021.01.14
"1.14(목) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.14 ~ 2021.01.14
	1.13(수) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.13 ~ 2021.01.13
"	1.13(수) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.13 ~ 2021.01.13
1.12(화) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.12 ~ 2021.01.12
"1.12(화) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.12 ~ 2021.01.12
1.10(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.10 ~ 2021.01.10
"1.10(일) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.10 ~ 2021.01.10
1.9(토) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.09 ~ 2021.01.09
"1.9(토) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.09 ~ 2021.01.09
1.8(금) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.08 ~ 2021.01.08
1.7(목) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.07 ~ 2021.01.07
"1.7(목) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.07 ~ 2021.01.07
1.6(수) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.06 ~ 2021.01.06
"1.6(수) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.06 ~ 2021.01.06
1.5(화) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.05 ~ 2021.01.05
"1.5(화) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.05 ~ 2021.01.05
1.3(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.03 ~ 2021.01.03
"1.3(일) 2,3차수령(15-18시) 안심도서대출서비스",누구나,2021.01.03 ~ 2021.01.03
