"동별(1)",동별(2),2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07
"동별(1)",동별(2),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,4469392,9723253,4707811,5015442,9493211,4604405,4888806,230042,103406,126636
"합계",종로구,73756,153246,73671,79575,143547,69463,74084,9699,4208,5491
"합계",중구,64040,131702,63892,67810,122138,59360,62778,9564,4532,5032
"합계",용산구,111948,236541,114492,122049,222262,106743,115519,14279,7749,6530
"합계",성동구,134387,290430,140954,149476,283618,138046,145572,6812,2908,3904
"합계",광진구,169985,352877,169208,183669,339853,163882,175971,13024,5326,7698
"합계",동대문구,170066,352591,171922,180669,337198,166236,170962,15393,5686,9707
"합계",중랑구,188269,392990,193041,199949,388307,191193,197114,4683,1848,2835
"합계",성북구,198258,443895,212563,231332,433583,208745,224838,10312,3818,6494
"합계",강북구,145198,300081,145427,154654,296489,144107,152382,3592,1320,2272
"합계",도봉구,139225,316798,153694,163104,314662,152937,161725,2136,757,1379
"합계",노원구,218652,511696,245939,265757,507575,244138,263437,4121,1801,2320
"합계",은평구,216671,477343,227619,249724,473529,226065,247464,3814,1554,2260
"합계",서대문구,145662,317421,149648,167773,305716,145711,160005,11705,3937,7768
"합계",마포구,181340,378096,176426,201670,367473,172551,194922,10623,3875,6748
"합계",양천구,182095,447376,218783,228593,444213,217475,226738,3163,1308,1855
"합계",강서구,274595,578233,277491,300742,572814,275140,297674,5419,2351,3068
"합계",구로구,182427,418421,207087,211334,394745,194211,200534,23676,12876,10800
"합계",금천구,119809,245067,123984,121083,231522,116766,114756,13545,7218,6327
"합계",영등포구,189037,399789,197653,202136,376661,185518,191143,23128,12135,10993
"합계",동작구,187656,394843,190298,204545,385746,186466,199280,9097,3832,5265
"합계",관악구,282141,501094,250865,250229,487172,244925,242247,13922,5940,7982
"합계",서초구,169560,411213,196507,214706,407346,194627,212719,3867,1880,1987
"합계",강남구,235147,537133,256774,280359,532198,254498,277700,4935,2276,2659
"합계",송파구,286381,668758,321993,346765,663070,319423,343647,5688,2570,3118
"합계",강동구,203087,465619,227880,237739,461774,226179,235595,3845,1701,21