강좌명,대상,기간
[한 주제로 함께 읽기] <책들의 부엌> 김지혜 작가 북토크,전연령,2022.09.14(수)~2022.09.14(수)
[팹라이브러리] 장비사용안전교육(9/24),전연령,2022.09.24(토)~2022.09.24(토)
[팹라이브러리] 장비사용안전교육(9/17),전연령,2022.09.17(토)~2022.09.17(토)
[미디어창작관] 9월: OBS를 활용한 책 소개 영상 제작,성인,2022.09.24(토)~2022.09.24(토)
마지막 주 문화가 있는 수요일 < 설거지 비누 만들기> [9/28],청소년,2022.09.28(수)~2022.09.28(수)
2022년 하반기 광진정보도서관 청소년독서회(중학교 2/3학년),청소년,2022.09.04(일)~2022.12.18(일)
2022년 하반기 광진정보도서관 청소년독서회(중학교 1학년),청소년,2022.09.24(토)~2022.12.24(토)
[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이,2022.09.04(일)~2022.11.20(일)
[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이,2022.09.04(일)~2022.11.20(일)
[메이커-교육] 3D 공작소: 3D모델링-Blender 중급반,어린이,2022.08.27(토)~2022.11.05(토)
[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 8월 노명우 교수>,전연령,2022.08.26(금)~2022.08.26(금)
[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 8월 노명우 교수>,전연령,2022.08.26(금)~2022.08.26(금)
[메이커-교육] 웹툰창작 성인반 참가자 모집,성인,2022.09.04(일)~2022.11.20(일)
[팹라이브러리]에서 놀자! 진공성형기를 활용한 석고방향제 만들기! (8/25~8/26),전연령,2022.08.25(목)~2022.08.26(금)
[팹라이브러리] 장비사용안전교육(8/27),전연령,2022.08.27(토)~2022.08.27(토)
[팹라이브러리] 매월(8월) 마지막 주 문화가 있는 수요일 <감성놀이 드림캐처 작품 만들기> [8/31],어린이,2022.08.31(수)~2022.08.31(수)
[팹라이브러리] 장비사용안전교육(8/13),전연령,2022.08.13(토)~2022.08.13(토)
8월 문화가 있는 수요일 웹툰 창작 체험: 덕질툰 그리기,전연령,2022.08.31(수)~2022.08.31(수)
2022년 도서관 지혜학교,성인,2022.08.10(수)~2022.10.26(수)
[미디어창작공간] 8월: OBS를 활용한 영화 리뷰 영상 제작,성인,2022.08.20(토)~2022.08.20(토)
[메이커-교육] 어린이 영상편집 교육 여름 특강,어린이,2022.08.10(수)~2022.08.12(금)
광진정보도서관 여름방학 독서교실 [광브르 곤충아카데미] ,어린이,2022.08.09(화)~2022.08.12(금)
[광진-오프라인] 시니어 스마트폰 활용 교육지도사 양성과정,성인,2022.07.18(월)~2022.08.29(월)
[팹라이브러리]에서 놀자! 유니맷 직소를 활용한 양인형 만들기!(7/29),어린이,2022.07.29(금)~2022.07.29(금)
[팹라이브러리]에서 놀자! 유니맷 직소를 활용한 양인형 만들기!(7/28),어린이,2022.07.28(목)~2022.07.28(목)
[팹라이브러리]  3D모델링 피규어 만들기 (퓨전360+3D프린터),성인,2022.07.10(일)~2022.10.02(일)
[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 7월 홍인혜(LUNA) 작가>,전연령,2022.07.15(금)~2022.07.15(금)
[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 7월 홍인혜(LUNA) 작가>,전연령,2022.07.15(금)~2022.07.15(금)
재공지 [광진-온라인] 정여울의 글쓰기 수업 -2022년 주민참여인문학 Ⅱ,전연령,2022.07.07(목)~2022.08.11(목)
[광진-온라인] 우리 각자의 미술관 -2022년 주민참여인문학 Ⅰ,전연령,2022.07.06(수)~2022.07.27(수)
7월 문화가 있는 수요일 웹툰 창작 체험: 꿈툰 그리기,전연령,2022.07.27(수)~2022.07.27(수)
[온라인] <2022년 광진구 독서동아리 사업설명회>,성인,2022.06.29(수)~2022.06.29(수)
[미디어창작공간] 7월: OBS를 활용한 취미&여행지 소개 영상 만들기,성인,2022.07.16(토)~2022.07.16(토)
[팹라이브러리] 원데이클래스 : 전문강사님과 함께하는 '재봉틀 컵홀더 만들기',청소년,2022.07.14(목)~2022.07.14(목)
[팹라이브러리] 매월(7월) 마지막 주 문화가 있는 수요일 <신소재 슈링클스&3D펜 작품만들기> [7/27],어린이,2022.07.27(수)~2022.07.27(수)
[팹라이브러리] 장비사용안전교육(7/23),전연령,2022.07.23(토)~2022.07.23(토)
[팹라이브러리] 장비사용안전교육(7/9),전연령,2022.07.09(토)~2022.07.09(토)
[대면]2022년 광진정보도서관 북스타트 자원활동가 모집 및 양성교육 (총 6회),성인,2022.07.04(월)~2022.08.08(월)
[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 6월 오세란 청소년문학평론가>,전연령,2022.06.29(수)~2022.06.29(수)
"자양한강도서관 2022 북스타트프로그램 '그림책으로 맘 준비, 맘 돌봄!'(대면)",전연령,2022.06.29(수)~2022.07.20(수)
[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이,2022.06.26(일)~2022.08.28(일)
[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이,2022.06.26(일)~2022.08.28(일)
[메이커-교육] 그림책과 함께하는 유쾌한 코딩,어린이,2022.06.25(토)~2022.09.17(토)
업사이클로 만나는 그림책(성인)(2022년 광진정보도서관 교육문화프로그램 2차),성인,2022.06.24(금)~2022.07.15(금)
"[팹라이브러리]에서 놀자! 밴딩 패턴을 이용한 MDF 꼬마상자 만들기 (퓨전360 & 레이저 커팅기) [6/17, 6/24 _ 총 2회차] ",전연령,2022.06.17(금)~2022.06.24(금)
[미디어창작공간] 6월: OBS를 활용한 우리 가족 뉴스 만들기,어린이,2022.06.18(토)~2022.06.18(토)
[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 6월 김민형 교수>,전연령,2022.06.16(목)~2022.06.16(목)
[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이,2022.06.11(토)~2022.08.13(토)
전쟁으로 만나는 한국사(초등 5~6)(2022년 광진정보도서관 교육문화프로그램 2차),어린이,2022.06.11(토)~2022.07.16(토)
와글와글 과학놀터 (심화)(초등 3~4)(2022년 광진정보도서관 교육문화프로그램 2차),어린이,2022.06.11(토)~2022.07.30(토)
와글와글 과학놀터 (기초)(초등 1~2)(2022년 광진정보도서관 교육문화프로그램 2차),어린이,2022.06.11(토)~2022.07.30(토)
[팹라이브러리] 장비사용안전교육(6/25),전연령,2022.06.25(토)~2022.06.25(토)
[팹라이브러리] 장비사용안전교육(6/11),전연령,2022.06.11(토)~2022.06.11(토)
6월 문화가 있는 수요일 웹툰 창작 체험: 사파리 여행툰 그리기,전연령,2022.06.29(수)~2022.06.29(수)
[팹라이브러리] 매월(6월) 마지막 주 문화가 있는 수요일 <나만의 우드버닝 작품만들기> ,전연령,2022.06.29(수)~2022.06.29(수)
[온라인]2022 광진정보도서관 일상에서 만나는 인문학 <난처한 동양미술 이야기>,전연령,2022.06.03(금)~2022.07.08(금)
문해력 글쓰기 트레이닝(2022년 광진정보도서관 교육문화프로그램 2차),어린이,2022.06.02(목)~2022.07.07(목)
사진 읽어주는 도서관: 스마트폰으로 사진 잘 찍기(성인)(2022년 광진정보도서관 교육문화프로그램 2차),성인,2022.06.02(목)~2022.07.21(목)
[메이커-교육] 웹툰창작 성인반 참가자 모집,성인,2022.06.09(목)~2022.08.11(목)
한 주제로 함께 읽기 서포터즈 모집,전연령,2022.06.02(목)~2022.12.31(토)
[오프라인] 뮤키디오 콘서트<오늘의 난 미지근하게 축제>,성인,2022.05.28(토)~2022.05.28(토)
[중곡 온라인]  이남옥 교수 특강 <가족: 가장 가까이에 나와 닮은 타인들> 행복한 가족은 무엇이 다를까,전연령,2022.05.26(목)~2022.05.26(목)
[온라인] 2022 광진정보도서관 트렌디 인문학 <미래를 읽는 경제아카데미>,전연령,2022.05.16(월)~2022.09.05(월)
[온라인] '한강 문학 살롱' 김남희 작가와의 만남,전연령,2022.05.30(월)~2022.05.30(월)
[미디어창작공간] 5월: OBS를 활용한 책 소개 영상 제작,성인,2022.05.21(토)~2022.05.21(토)
[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 5월 김범준 작가> ,전연령,2022.05.13(금)~2022.05.13(금)
[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 5월 김범준 작가> ,전연령,2022.05.13(금)~2022.05.13(금)
5월 문화가 있는 수요일 웹툰 창작 체험: 가족 일상툰 그리기,전연령,2022.05.25(수)~2022.05.25(수)
[온라인] 2022년 자양한강도서관 한가람인문학(1) <클래식은 처음이라>,전연령,2022.05.03(화)~2022.06.21(화)
[팹라이브러리] 매월(5월) 마지막 문화가 있는 수요일 <유니맷으로 나만의 우든샤프 만들기> [5/25],성인,2022.05.25(수)~2022.05.25(수)
[팹라이브러리] 장비사용안전교육(5/28),전연령,2022.05.28(토)~2022.05.28(토)
[팹라이브러리] 장비사용안전교육(5/14),전연령,2022.05.14(토)~2022.05.14(토)
광진정보도서관 실버이야기교실 14기 참여자 모집,성인,2022.05.11(수)~2022.11.09(수)
"[온라인_중곡]도서관 인문학 콘서트 김누리, 김찬호, 최샛별 특강 (통합 신청)",전연령,2022.04.28(목)~2022.05.27(금)
[팹라이브러리] 원데이클래스 : HANDMADE 나만의 '가죽키링+책갈피',전연령,2022.04.16(토)~2022.04.16(토)
[팹라이브러리] 4월 매월 마지막 문화가 있는 수요일 < 나만의 컬러 스티커 만들기 > [4/27],전연령,2022.04.27(수)~2022.04.27(수)
"[팹라이브러리]에서 놀자! DIY 공중부양모빌만들기 (퓨전360) [4/8, 4/15 2회차] ",전연령,2022.04.08(금)~2022.04.15(금)
[미디어창작공간] 4월: OBS를 활용한 영화 리뷰 영상 제작,성인,2022.04.24(일)~2022.04.24(일)
4월 문화가 있는 수요일 웹툰 창작 체험: 디저트의 세계,전연령,2022.04.27(수)~2022.04.27(수)
"[온라인_중곡] “돌아온, 온라인 쏙! 도서관 놀이터”  초등 1~4학년 어린이를 위한 그림책 작가와의 만남",어린이,2022.04.17(일)~2022.04.17(일)
[온라인_중곡] 도서 평론가 이권우의 책 읽기 특강 “삶을 바꾸는 독서 : 인공지능 시대의 책 읽기”,성인,2022.04.19(화)~2022.04.19(화)
2022 광진정보도서관 부모교육 <내가 모르는 내 아이 마음 알아보기>,전연령,2022.04.20(수)~2022.04.27(수)
2022 광진정보도서관 일상에서 만나는 인문학 《역사와 문화를 통해 배우는 동유럽》,전연령,2022.04.07(목)~2022.05.12(목)
[팹라이브러리] 나만의 제페토 월드 만들기<메타버스체험>,전연령,2022.04.17(일)~2022.07.03(일)
[팹라이브러리] 장비사용교육(4/23),전연령,2022.04.23(토)~2022.04.23(토)
[팹라이브러리] 장비사용교육(4/9),전연령,2022.04.09(토)~2022.04.09(토)
[메이커-교육] VR과 함께하는 메타버스,어린이,2022.04.17(일)~2022.07.03(일)
2022년 광진정보도서관 실버독서회 참여자 모집,성인,2022.04.08(금)~2022.08.19(금)
[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이,2022.03.26(토)~2022.05.28(토)
"광진정보도서관 ""시니어 자서전""쓰기 참여자 모집 안내",성인,2022.04.08(금)~2022.12.22(목)
영화로 만나는 한국 현대사(초등 5~6)(2022년 광진정보도서관 교육문화프로그램 1차),어린이,2022.04.02(토)~2022.04.23(토)
[미디어창작공간] 3월: 크로마키와 OBS 기초활용,성인,2022.03.25(금)~2022.03.25(금)
2022 광진정보도서관 일상에서 만나는 인문학 「열녀전(列女傳)의 여인들」,성인,2022.03.21(월)~2022.05.09(월)
[팹라이브러리] 3월 매월 마지막 문화가 있는 수요일 < 3D펜 do it together! >,전연령,2022.03.30(수)~2022.03.30(수)
[메이커-교육] 웹툰창작 중급반 참가자 모집 (온라인),어린이,2022.04.03(일)~2022.06.19(일)
[메이커-교육] 웹툰창작 초급반 참가자 모집 (온라인),어린이,2022.04.03(일)~2022.06.19(일)
[메이커-교육] 그림책과 함께하는 유쾌한 코딩(온라인),어린이,2022.03.19(토)~2022.05.21(토)
[팹라이브러리]에서 놀자! 나만의 퍼즐 만들기(레이저커팅기)[3/25] ,전연령,2022.03.25(금)~2022.03.25(금)
[팹라이브러리]에서 놀자! 나만의 퍼즐 만들기(레이저커팅기)[3/11] ,전연령,2022.03.11(금)~2022.03.11(금)
[메이커-교육] 웹툰창작 성인반 참가자 모집 (온라인),성인,2022.03.17(목)~2022.05.26(목)
3월 문화가 있는 수요일 웹툰 창작 체험: 익숙한 소재로 엉뚱한 상상하기,전연령,2022.03.30(수)~2022.03.30(수)
[팹라이브러리] 장비사용교육(3/26),전연령,2022.03.26(토)~2022.03.26(토)
[팹라이브러리] 장비사용교육(3/12),전연령,2022.03.12(토)~2022.03.12(토)
[중곡] 2022년 1분기 초등 1~2학년 어린이를 위한 철학 독서 미술 활동 <감성톡톡>,어린이,2022.03.10(목)~2022.04.28(목)
와글와글 과학놀터 (2)(초등 3~4)(2022년 광진정보도서관 교육문화프로그램 1차),어린이,2022.03.12(토)~2022.04.30(토)
와글와글 과학놀터 (1)(초등 1~2)(2022년 광진정보도서관 교육문화프로그램 1차),어린이,2022.03.12(토)~2022.04.30(토)
"도서관, 일상을 기록하다(스마트폰 카메라로 일상 사진찍기)",성인,2022.03.03(목)~2022.04.21(목)
내가 그린(GREEN) 그림책 업사이클링(2022년 광진정보도서관 교육문화프로그램 1차) ,어린이,2022.03.10(목)~2022.03.31(목)
어린이 갈래별 글쓰기(다양한 갈래)(2022년 광진정보도서관 교육문화프로그램 1차),어린이,2022.03.04(금)~2022.04.22(금)
2022년 상반기 광진정보도서관 청소년독서회(중학교 2/3학년),청소년,2022.03.05(토)~2022.07.16(토)
2022년 상반기 광진정보도서관 청소년독서회(중학교 1학년),청소년,2022.03.12(토)~2022.07.23(토)
2022 광진정보도서관 도시농업학교,전연령,2022.03.12(토)~2022.11.26(토)
[메이커-작업] 성인창작(3D프린터운용기능사 실기공략반/Fusion360) 참가자 모집,성인,2022.02.27(일)~2022.05.01(일)
[팹라이브러리]에서 놀자! 3D프린터 + 리쏘페인 나만의 무드등 만들기 (2/25),전연령,2022.02.25(금)~2022.02.25(금)
[팹라이브러리]에서 놀자! 3D프린터 + 리쏘페인 나만의 무드등 만들기 (2/11),전연령,2022.02.11(금)~2022.02.11(금)
[팹라이브러리] 장비사용안전교육(2/26),전연령,2022.02.26(토)~2022.02.26(토)
[팹라이브러리] 장비사용안전교육(2/12),전연령,2022.02.12(토)~2022.02.12(토)
"2월 문화가 있는 수요일: 웹툰 창작 체험, 나만의 마우스 패드 만들기",전연령,2022.02.23(수)~2022.02.23(수)
(어린이를 위한) 반려식물 키우기 교실,어린이,2022.01.19(수)~2022.01.21(금)
(그림책과 함께하는) 반려식물 키우기 교실(성인),성인,2022.01.19(수)~2022.01.21(금)
[메이커-작업] 성인창작 <2022 그림책과 오토마타>,전연령,2022.01.09(일)~2022.03.20(일)
독서동아리 리더보수교육-동아리 리스타트,성인,2022.01.11(화)~2022.02.08(화)
"[팹라이브러리]에서 놀자! 3D프린터 + 매쉬믹서 (1/21, 1/28 2회차)",전연령,2022.01.21(금)~2022.01.28(금)
[팹라이브러리] 3D프린터 공방창업 1일특강,성인,2022.01.15(토)~2022.01.15(토)
[팹라이브러리] 1월 < 토퍼(Topper) > 체험  프로그램,전연령,2022.01.26(수)~2022.01.26(수)
[팹라이브러리] 장비사용교육(1/29),전연령,2022.01.29(토)~2022.01.29(토)
[팹라이브러리] 장비사용교육(1/22),전연령,2022.01.22(토)~2022.01.22(토)
문화가 있는 수요일: 웹툰 창작 체험 1월 ,전연령,2022.01.26(수)~2022.01.26(수)
[클래식 공연]  클래식 기타로 만나는 가족이야기,전연령,2021.12.30(목)~2021.12.30(목)
2022년 광진정보도서관 겨울방학 독서교실 운영안내,어린이,2022.01.11(화)~2022.01.14(금)
[메이커-교육] 창의융합형 VR 교육 프로그램 참가자 모집,어린이,2022.01.18(화)~2022.01.21(금)
[메이커-교육] (인공지능)다이아보드와 함께하는 피지컬 코딩,어린이,2022.01.08(토)~2022.03.05(토)
[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이,2022.01.08(토)~2022.03.19(토)
[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이,2022.01.09(일)~2022.03.20(일)
[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이,2022.01.09(일)~2022.03.20(일)
(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/27),성인,2021.12.27(월)~2021.12.27(월)
(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/20),성인,2021.12.20(월)~2021.12.20(월)
(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/13),성인,2021.12.13(월)~2021.12.13(월)
(그림책과 함께하는) 반려식물 키우기-원데이클래스(12/6),성인,2021.12.06(월)~2021.12.06(월)
도서관에서 메이커되기 - 웹툰활동으로 메이커 되기,성인,2021.12.08(수)~2021.12.08(수)
도서관에서 메이커 되기 - 공예활동(가죽공예)으로 메이커 되기 2,성인,2021.12.30(목)~2021.12.30(목)
도서관에서 메이커되기 - 공예활동(가죽공예)으로 메이커 되기 1,성인,2021.12.23(목)~2021.12.23(목)
도서관에서 메이커 되기 - 페이퍼커팅기로 메이커 되기,성인,2021.12.16(목)~2021.12.16(목)
[서울북스타트 부모교육4] 어린이는 자유놀이를 찾아가는 위대한 탐험가,전연령,2021.12.23(목)~2021.12.23(목)
도서관에서 메이커되기- 재봉틀로 메이커 되기 2,성인,2021.12.16(목)~2021.12.16(목)
도서관에서 메이커되기-재봉틀로 메이커 되기 1,성인,2021.12.09(목)~2021.12.09(목)
팹 라이브러리에서 놀자!(크리스마스 오너먼트 만들기 편),전연령,2021.12.17(금)~2021.12.17(금)
팹라이브러리 12월 <3D펜으로 새해카드 만들기 > 체험 프로그램,전연령,2021.12.29(수)~2021.12.29(수)
2021 광진정보도서관 「권오준 작가와의 만남」 ,어린이,2021.12.18(토)~2021.12.18(토)
문화가 있는 수요일: 웹툰 창작 체험 12월,전연령,2021.12.29(수)~2021.12.29(수)
팹 라이브러리 장비사용교육(12/18),전연령,2021.12.18(토)~2021.12.18(토)
팹 라이브러리 장비사용교육(12/4),전연령,2021.12.04(토)~2021.12.04(토)
[온라인] '한강 문학 살롱' <긴긴밤> 루리 작가와의 만남,전연령,2021.12.02(목)~2021.12.02(목)
예술로 보는 고대 이집트 신화(온라인 강의),전연령,2021.12.06(월)~2021.12.27(월)
"한가람 인문학: 우리, 둘러보기(환경문제)",전연령,2021.11.23(화)~2021.12.14(화)
"한가람 인문학: 우리, 둘러보기(페미니즘)",전연령,2021.12.01(수)~2021.12.15(수)
낭만살롱; 클래식이 알고 싶다(온라인 강의),전연령,2021.11.26(금)~2021.12.03(금)
[온라인] '한강 문학 살롱' 이석원 작가와의 만남,전연령,2021.11.24(수)~2021.11.24(수)
[메이커-교육] 성인 단편 영화 제작 프로그램 수강생 모집,성인,2021.12.09(목)~2021.12.12(일)
 [중곡 온라인] '2021년 공공도서관 문화가 있는 날' 11월  온라인 비대면 공연 관람 신청,전연령,2021.11.27(토)~2021.11.27(토)
[메이커-교육] 웹툰창작 소감툰 그리기,어린이,2021.12.05(일)~2021.12.19(일)
[메이커-교육] 웹툰창작 여행툰 그리기 ,어린이,2021.12.05(일)~2021.12.19(일)
[중곡 온라인] 인문학 프로그램  [가족의 두 얼굴: 사랑하지만 상처도 주고 받는 가족의 인문학 ],성인,2021.11.24(수)~2021.12.08(수)
세계화의 역사와 전망(온라인 강의),전연령,2021.11.29(월)~2021.11.29(월)
환경UP 창의력UP 그림책 업사이클링(2021 4분기 광진정보도서관 교육문화프로그램),어린이,2021.11.27(토)~2021.12.18(토)
[서울북스타트 부모교육3] 아이와 나를 연결하는 그림과 언어,전연령,2021.11.18(목)~2021.11.18(목)
[메이커-교육] 세종대학교x광진정보도서관 영상편집(파워디렉터) 교육,성인,2021.11.17(수)~2021.11.26(금)
"팹 라이브러리에서 놀자! DIY 공중부양모빌만들기 중급편(퓨전360) 11/19, 11/26",전연령,2021.11.19(금)~2021.11.26(금)
팹 라이브러리에서 놀자! DIY 공중부양모빌만들기 초급편(틴커캐드) 11/13,전연령,2021.11.13(토)~2021.11.13(토)
2021 한 도서관 한 책 읽기 - (집에서 즐기는) 우리 가족 독서 반상회 (키트 배부 및 가정 내 토론 활동),전연령,2021.11.01(월)~2021.12.19(일)
팹 라이브러리 장비사용교육(11/20),전연령,2021.11.20(토)~2021.11.20(토)
팹 라이브러리 장비사용교육(11/6),전연령,2021.11.06(토)~2021.11.06(토)
팹라이브러리 11월 < 우드버닝  Do It Together! > 체험 프로그램,전연령,2021.11.24(수)~2021.11.24(수)
